time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448650000	19.8619	14.9598	4.85259	1.89579	0.554343	radar	3.35262	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.829	15.1801	4.82585	1.90679	0.538383	lidar	2.06155	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6972	15.3916	4.80922	1.97822	0.618884	radar	8.2224	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.665	15.5848	4.7483	1.98732	0.598702	lidar	3.54621	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5695	15.7915	4.7355	2.01521	0.595122	radar	1.34947	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4663	16.0043	4.73563	2.04428	0.594436	lidar	0.00543951	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3636	16.213	4.73302	2.06244	0.571039	radar	1.77193	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2532	16.3918	4.69486	2.09246	0.573529	lidar	0.796232	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1342	16.5896	4.6892	2.12255	0.576787	radar	0.292259	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0052	16.7974	4.70384	2.15123	0.576243	lidar	0.0951479	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8486	16.99	4.71623	2.20711	0.628464	radar	6.65423	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6787	17.2202	4.78651	2.24091	0.628934	lidar	1.74868	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5742	17.4241	4.77189	2.23108	0.555925	radar	6.00186	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3627	17.6124	4.81957	2.27792	0.57335	lidar	3.89045	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2264	17.803	4.81119	2.2838	0.531311	radar	2.51963	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0928	17.9892	4.79819	2.30141	0.522892	lidar	0.899231	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9174	18.1454	4.78682	2.34244	0.547919	radar	1.88061	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7829	18.2904	4.731	2.36473	0.544305	lidar	1.11964	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6486	18.4723	4.7182	2.37265	0.518324	radar	6.75156	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4557	18.6507	4.75504	2.40085	0.519685	lidar	0.458008	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2748	18.7931	4.74258	2.4344	0.531922	radar	1.71734	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1117	18.9306	4.71016	2.45919	0.530884	lidar	0.354397	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9445	19.1006	4.71634	2.47148	0.510932	radar	3.10194	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7279	19.2155	4.71629	2.51157	0.525145	lidar	2.66764	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5386	19.3685	4.73058	2.53465	0.524149	radar	3.22622	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3163	19.5266	4.78197	2.56051	0.522676	lidar	0.866827	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0933	19.6112	4.76682	2.60905	0.553366	radar	10.0242	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8889	19.7542	4.78675	2.62951	0.545884	lidar	0.787132	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6994	19.8786	4.76363	2.63687	0.508524	radar	3.28429	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.471	20.0291	4.81649	2.65544	0.500599	lidar	1.41706	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2614	20.1697	4.83447	2.66701	0.481733	radar	5.7832	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.071	20.3017	4.82488	2.67916	0.470325	lidar	1.88742	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8414	20.3849	4.82438	2.7147	0.486802	radar	2.0648	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6254	20.5039	4.83566	2.73174	0.479476	lidar	0.674252	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3902	20.5911	4.85057	2.76595	0.49815	radar	1.26336	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1439	20.6657	4.86583	2.79759	0.504392	lidar	0.731338	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9077	20.7371	4.87328	2.83154	0.520662	radar	0.387865	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6355	20.8008	4.91629	2.86568	0.52766	lidar	1.80796	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3876	20.8325	4.92299	2.91612	0.569271	radar	2.52664	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1409	20.8755	4.92562	2.94811	0.572645	lidar	0.171734	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9087	20.9334	4.92042	2.97069	0.566415	radar	1.73543	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7054	20.9799	4.87427	2.99228	0.561047	lidar	1.84862	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4535	21.0199	4.89431	3.02094	0.564122	radar	2.60492	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2069	21.0579	4.90423	3.04535	0.560122	lidar	0.148488	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9676	21.0777	4.90279	3.07649	0.568306	radar	0.984815	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7234	21.0505	4.88657	3.11865	0.582317	lidar	1.9322	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4755	21.0372	4.88783	3.1544	0.590407	radar	1.11145	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2575	21.032	4.85343	3.1824	0.589909	lidar	0.680005	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0028	20.9937	4.86528	3.22214	0.601281	radar	4.18928	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7902	20.9569	4.82243	3.25671	0.60708	lidar	0.633944	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5425	20.9546	4.81608	3.26554	0.56902	radar	5.46642	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2665	20.9795	4.87638	3.27241	0.545444	lidar	3.32782	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0277	20.9608	4.87226	3.29226	0.535887	radar	1.01907	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83033	20.9222	4.81462	3.31995	0.538459	lidar	1.68997	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59648	20.9125	4.78713	3.32152	0.49561	radar	2.49659	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.40035	20.8602	4.73466	3.35061	0.501347	lidar	1.10215	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.17788	20.8194	4.72363	3.37209	0.498064	radar	1.49852	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89126	20.7851	4.80076	3.38497	0.484069	lidar	2.14797	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.67503	20.7069	4.78207	3.41775	0.494443	radar	4.41998	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40295	20.6218	4.8411	3.44527	0.495903	lidar	2.73793	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.1747	20.542	4.84298	3.4734	0.501395	radar	0.07386	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93347	20.4615	4.86078	3.49673	0.49924	lidar	0.133913	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71707	20.3759	4.86169	3.52797	0.513977	radar	3.4559	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.41518	20.3164	4.9582	3.53179	0.489633	lidar	3.63783	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.18513	20.2193	4.95642	3.55428	0.485064	radar	0.233274	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.92215	20.1365	5.00058	3.56668	0.472072	lidar	0.833766	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.69851	20.0443	4.9862	3.58324	0.461334	radar	0.503261	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.45024	19.9533	5.01234	3.59643	0.45078	lidar	0.442016	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.23435	19.8593	4.99567	3.61355	0.445384	radar	2.83614	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.97221	19.766	5.04067	3.62144	0.429919	lidar	1.00045	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.74522	19.6209	5.07485	3.65798	0.454476	radar	1.94441	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.56256	19.4995	5.02613	3.68495	0.459734	lidar	1.21734	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.36126	19.3505	5.02225	3.71725	0.471534	radar	1.71358	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.14596	19.2494	5.0135	3.72717	0.457824	lidar	1.94825	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.95323	19.1369	4.96392	3.73787	0.437744	radar	4.64318	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78589	18.9866	4.92367	3.77005	0.449135	lidar	0.669152	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.57801	18.8369	4.95002	3.79478	0.456207	radar	1.48694	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.39813	18.7053	4.92095	3.81423	0.453361	lidar	1.12114	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.21482	18.5629	4.88619	3.82918	0.438246	radar	1.37667	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.08507	18.4077	4.81819	3.86409	0.453243	lidar	2.09839	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
